Days ;VCS-Stars;VCS-Forks;VCS-Contributions;VCS-Commits;USR-F;USR-R;USR-P;WasGeneratedBy;Used;wasAssociatedWith;Activity;wasStartedBy;WasInvalidatedBy;Agent;wasInformedBy;wasEndedBy;wasDerivedFrom;Entity;wasAttributedTo;specializationOF;Grade
5;0;0;0;4;0;2;yes;3;1;6;3;3;0;2;1;3;1;6;3;3;3,67
0;1;5;1;1;5;22;yes;69;0;1;1;1;0;1;0;1;0;138;69;69;3,00
45;11;1;1;46;78;101;yes;64;7;130;24;1;95;16;53;0;140;35;13;13;6,67
389;17;6;5;113;215;22;yes;223;163;109;108;108;23;5;95;108;163;312;246;246;5,67
1446;22;7;4;170;135;190;yes;401;272;162;160;160;65;4;150;160;272;619;466;466;6,67
355;413;68;10;344;310;32;yes;751;683;311;309;309;27;13;290;309;683;897;778;778;7,00
1464;439;86;11;351;80;58;no;547;542;336;332;332;5;12;329;332;542;574;552;552;5,67
707;258;29;5;45;1100;96;yes;70;58;35;32;32;0;5;31;32;58;84;70;70;5,00
1825;278;31;7;195;1500;47;yes;332;282;184;184;184;10;7;171;184;282;406;342;342;7,00
1465;103;13;1;24;1500;47;yes;23;20;23;23;23;0;1;20;23;20;28;23;23;6,33
1820;3101;529;29;183;575;10;yes;333;298;166;158;158;12;32;153;158;298;387;345;345;5,67
1471;0;339;91;442;1100;96;yes;515;494;413;336;336;10;95;345;336;494;568;525;525;4,00
1459;228;28;13;467;54;71;yes;1073;1056;453;451;451;3;17;452;451;1056;1098;1076;1076;8,33
9;798;38;3;123;338;48;yes;246;167;120;118;118;8;4;104;118;167;333;254;254;7,00
7;27;9;2;17;1200;56;yes;72;25;16;16;16;3;3;14;16;25;123;75;75;4,67
727;867;63;19;1087;101;65;no;2540;1942;908;891;891;273;23;875;891;1942;3435;2804;2804;5,67
361;234;15;23;256;23;44;no;1257;973;358;238;238;165;30;237;238;973;1706;1422;1422;6,00
721;215;38;7;77;52;51;yes;125;94;60;60;60;12;8;57;60;94;171;137;137;4,33
2558;166;73;37;1748;354;113;yes;2191;1769;1347;1326;1326;350;44;1177;1326;1769;3006;2541;2541;8,00
365;4616;1226;14;194;3600;162;yes;398;217;196;170;170;60;17;98;170;217;641;458;458;7,67
1475;343;244;1;4;3600;162;yes;38;12;4;4;4;0;2;3;4;12;64;38;38;5,67
381;274;34;8;967;46;13;no;2175;1249;951;927;927;42;11;836;927;1249;3224;2217;2217;8,00
1095;561;121;29;358;1100;72;yes;1234;1095;312;309;309;25;37;307;309;1095;1535;1259;1259;4,67
5;569;127;4;30;32;25;no;77;56;30;27;27;3;5;25;27;56;121;80;80;3,33
1083;456;117;8;754;1200;196;yes;3483;3033;693;683;683;306;12;665;683;3033;4396;3789;3789;7,67
363;2617;178;15;578;52;76;no;3071;1619;493;477;477;554;16;451;477;1619;5108;3625;3625;7,67
1104;162;55;28;808;336;255;yes;1560;1410;741;715;715;44;30;703;715;1410;715;1604;1604;6,67
17;21;12;1;35;329;47;yes;618;63;28;28;28;1;21;21;28;63;1408;628;628;7,67
1448;216;29;13;331;307;120;yes;1154;1092;346;327;327;17;18;328;327;1092;1278;1171;1171;5,00
727;247;53;9;99;411;42;no;115;100;95;90;90;3;12;84;90;100;132;118;118;3,67
1088;120;15;6;183;208;110;yes;631;553;165;164;164;16;8;158;164;553;729;647;647;3,67
728;326;37;17;211;340;111;no;544;479;202;190;190;4;19;188;190;479;617;548;548;6,00
1078;2232;103;5;267;620;237;yes;681;518;254;253;253;127;7;242;253;518;979;808;808;6,00
1092;10005;493;115;1059;41;887;yes;2750;2469;1242;905;905;51;125;925;905;2496;3115;2798;2798;8,33
716;3810;217;23;172;5200;705;no;172;164;137;130;130;2;26;135;130;164;192;174;174;6,67
1081;10088;738;13;97;11000;926;no;119;91;82;82;82;0;14;84;82;91;157;119;119;6,00
372;33;4;3;119;91;107;yes;338;290;117;116;116;12;7;113;116;290;402;350;350;4,67
728;342;43;7;89;201;63;yes;144;134;84;84;84;1;8;83;84;134;163;145;145;5,33
1080;503;51;9;110;518;133;yes;332;254;95;95;95;43;10;85;95;254;456;375;375;6,33
5;42;0;1;68;1500;92;no;99;88;68;68;68;0;1;63;68;88;110;99;99;5,00
1474;139;31;7;558;1100;195;no;2235;2158;556;549;549;22;9;532;549;2158;2511;2257;2257;5,33
1113;240;24;11;394;195;91;yes;1674;1466;382;369;369;56;12;364;369;1466;1942;1730;1730;5,67
1093;40;19;2;353;91;67;yes;966;511;339;337;337;319;6;288;337;511;1777;1285;1285;6,33
2905;0;133;29;305;32;53;yes;745;582;266;265;84;84;31;266;265;582;1117;829;829;4,67
376;107;5;2;1232;66;55;yes;2698;2325;1197;1191;1191;207;3;1140;1191;2325;3288;2905;2905;7,33
359;92;19;2;41;524;31;no;606;69;40;39;39;179;5;27;39;69;1317;785;785;4,33
3655;418;78;25;637;208;38;yes;1628;1515;553;544;62;62;28;540;544;1515;1831;1690;1690;6,00
3673;96;35;1;457;255;148;yes;1384;777;436;436;436;173;2;393;436;777;2179;1557;1557;6,00
6;1250;655;2;27;2600;137;yes;93;27;22;22;22;1;2;20;22;27;162;94;94;6,00
346;162;72;2;74;10;28;yes;133;110;71;71;71;2;4;61;71;110;161;135;135;6,67
387;1262;60;3;56;152;31;yes;54;47;105;54;54;0;4;47;54;47;61;54;54;5,67
16;148;28;3;31;389;11;yes;115;68;26;25;25;4;4;23;25;68;169;119;119;6,33
2093;26;11;1;22;19;39;yes;41;31;22;22;22;0;1;0;22;31;51;41;41;5,00
1097;20;20;4;51;41;29;yes;79;53;41;40;40;15;6;36;40;53;121;94;94;4,67
739;33;16;12;109;25;23;yes;4012;2166;87;85;1231;1231;13;87;85;2166;6681;5243;5243;6,00
7;4;1;2;28;1400;23;yes;90;68;28;28;28;3;3;25;28;68;115;93;93;4,67
382;128;10;5;235;116;93;yes;383;336;232;230;230;32;7;210;230;336;472;415;415;5,67
1093;796;142;44;254;59;105;yes;482;463;354;238;238;1;53;239;238;463;509;483;483;5,33
1445;133;22;24;223;3;1;yes;467;307;195;185;185;130;30;180;185;307;764;597;597;4,67
1448;1467;243;32;208;23;48;yes;409;332;201;183;183;15;37;178;183;332;531;424;424;6,00
715;15308;1338;115;908;27800;254;yes;1403;1105;684;575;575;107;84;555;575;1105;1834;1510;1510;8,67
734;5267;308;81;682;27800;254;yes;1419;1111;693;581;581;107;87;560;581;1111;1860;1526;1526;7,33
731;0;78;4;18;32;56;yes;20;9;10;10;10;6;4;9;10;9;39;26;26;3,67
340;1558;45;4;318;23;26;yes;902;718;326;315;315;72;5;305;315;718;1253;974;974;3,33
75;145;4;4;124;42;14;yes;246;189;133;124;124;24;5;115;124;189;327;270;270;5,33
741;86;24;4;206;79;29;yes;1695;1394;203;202;202;98;5;198;202;1394;2260;1793;1793;6,33
2932;798;79;41;616;377;119;no;760;742;507;500;500;9;47;512;500;742;831;769;769;7,33
1459;365;92;15;182;170;103;yes;696;514;168;154;154;126;21;150;154;514;1075;822;822;4,00
1113;1713;261;37;1653;44;53;yes;2184;2063;1186;1083;1083;161;42;1145;1083;2063;2703;2345;2345;5,00
737;901;33;9;567;442;45;yes;1983;1755;502;484;484;52;12;480;484;1755;2496;2035;2035;7,00
2;234;24;2;92;39;56;yes;373;213;101;92;92;66;4;84;92;213;598;439;439;6,33
1100;7389;1537;67;1719;2400;52;yes;4347;3717;1606;1564;1564;434;77;1540;1564;3717;5453;4781;4781;5,33
2583;26581;7155;70;1008;3000;26;yes;1716;1609;882;877;877;63;88;873;877;1609;1907;1779;1779;6,33
54;22;0;2;408;54;22;no;245;56;111;22;22;56;56;78;36;32;1233;144;144;8,33
339;0;97;7;99;378;39;yes;281;225;85;85;85;11;9;81;85;225;371;292;292;4,67
